age.group,male,female,total
0-4,44239,41819,86058
5-9,56051,52771,108822
10-14,47422,44666,92088
15-19,48592,45504,94096
20-24,52896,49998,102894
25-29,65460,60899,126359
30-34,74566,68013,142579
35-39,82583,74533,157116
40-44,79105,72596,151701
45-49,75693,71847,147540
50-54,78506,76191,154697
55-59,75011,74108,149119
60-64,72625,72563,145188
65-69,57838,62200,120038
70-74,38072,46981,85053
75-79,31964,44645,76609
80-84,20296,36434,56730
85+,12490,34652,47142
